Word,Certainty,NumWords,NumCharacters
has been reported,5.33,3,17
has been suggested,5.44,3,18
has been used,7.12,3,13
has been very,6.77,3,13
has certainly,8.25,2,13
has claimed,5.6,2,11
has come,6.93,2,8
has come to,6.85,3,11
has completed,7.64,2,13
has completely,8.3,2,14
has confirmed,8.33,2,13
has control,7.47,2,11
has decided,7.4,2,11
has decided that,7.47,3,16
has established,7.73,2,15
has ever been,6.83,3,13
has failed to,5.73,3,13
has found,7,2,9
has happened,7.48,2,12
has just been,6.53,3,13
has less,4.79,2,8
has never,7.36,2,9
has no,6.79,2,6
has not been,5.62,3,12
has not yet,4.03,3,11
has not yet been,4.27,4,16
has previously,6.44,2,14
has probably,5.08,2,12
has proved,8,2,10
has proven that,7.61,3,15
has provided,7.6,2,12
has recently,6.27,2,12
has resulted,6.39,2,12
has said,6.82,2,8
has some,5.47,2,8
has stopped,7.45,2,11
has successfully,7.27,2,16
has the potential,5.2,3,17
has the potential to,4.56,4,20
has therefore,7.03,2,13
has to be,7.68,3,9
has to come,6.12,3,11
has turned out,6.88,3,14
hasn't been,6.08,2,11
have a feeling,3.76,3,14
have a feeling that,4.63,4,19
have achieved,7.83,2,13
have agreed to,7.38,3,14
have already become,7.18,3,19
have already been,7.47,3,17
have already had,7.16,3,16
have already made,6.41,3,17
have always had,6.88,3,15
have always maintained,7.42,3,22
have appeared,5.97,2,13
have been found,7.31,3,15
have been given,7.38,3,15
have been lost,6.29,3,14
have been successful,7.72,3,20
have begun,6.16,2,10
have begun to,6.24,3,13
have caused,7.29,2,11
have come,6.15,2,9
have completed,7.67,2,14
have concluded,7.75,2,14
have confirmed,8.52,2,14
have consistently,7.19,2,17
have contributed,6.76,2,16
have decided,7.12,2,12
have developed,6.93,2,14
have disappeared,6.09,2,16
have doubts,2.04,2,11
have either,4.52,2,11
have established,7.68,2,16
have expected,5.11,2,13
have experienced,7.54,2,16
have found that,6.5,3,15
have had enough,7.45,3,15
have had to,6.55,3,11
have happened,7.33,2,13
have included,7.03,2,13
have known,7.58,2,10
have mentioned,5.22,2,14
have met,7.41,2,8
have never been,6.55,3,15
have not been able,5.42,4,18
have not had,5.06,3,12
have now,6,2,8
have now been,6.43,3,13
have occurred,7.61,2,13
have pointed out,6.19,3,16
have proved,8.06,2,11
have proven,8,2,11
have proven to,8.04,3,14
have provided,7.19,2,13
have reached,7.24,2,12
have received,7.5,2,13
have reported,6.87,2,13
have stated that,6.85,3,16
have suggested,5.57,2,14
have taken place,7.3,3,16
have talked about,6.5,3,17
have the feeling that,3.96,4,21
haven't been able,4.33,3,17
haven't heard,3.73,2,13
he always has,7.77,3,13
he argues,6.07,2,9
he believes,5.24,2,11
he believes that,6,3,16
he can't,6,2,8
he didn't,6.73,2,9
he felt,4.36,2,7
he hasn't,7.16,2,9
he is not,6.63,3,9
he isn't,6.53,2,8
he knows,7.74,2,8
he proposed,5.65,2,11
he said,6.67,2,7
he seems,4.3,2,8
he seems to,5.21,3,11
he seems to be,4.23,4,14
he thinks,4.23,2,9
he understands,7.57,2,14
he was able,6.93,3,11
he's feeling,6.2,2,12
he's got a,6.46,3,10
he's lost,5.07,2,9
he's most,6.75,2,9
he's not,6.36,2,8
he's not even,5.88,3,13
he's not in,6.36,3,11
he's not really,4.37,3,15
he's supposed to,5.08,3,16
he's thinking,5.08,2,13
he's trying,4.52,2,11
held that,6.16,2,9
here it is,7.48,3,10
hesitant,2.26,1,8
hesitantly,1.97,1,10
hesitated,2.08,1,9
hesitates,1.68,1,9
highest possible,7.67,2,16
highlighted,6.68,1,11
highly,7.31,1,6
hinders,5.56,1,7
hinted,3.36,1,6
hinted that,3.97,2,11
hinting,4.42,1,7
hiring,6.47,1,6
honestly,6.67,1,8
honesty,6.09,1,7
hoped that,4.3,2,10
hopelessly,4.93,1,10
however,3.93,1,7
hugely,6.57,1,6
hunch,3.03,1,5
hypotheses,4.17,1,10
hypothetical,3.62,1,12
i absolutely,7.88,2,12
i ain't,5.03,2,7
i also find it,6.78,4,14
i also think,6.12,3,12
i always,7.9,2,8
i always knew,7.58,3,13
i am able to,6.41,4,12
i am absolutely,8.73,3,15
i am assuming,3.28,3,13
i am aware,7.38,3,10
i am certain,8.73,3,12
i am certainly,8.58,3,14
i am concerned,4.68,3,14
i am confident,8.73,3,14
i am convinced,7.38,3,14
i am extremely,8.16,3,14
i am fully,7.52,3,10
i am glad,6.88,3,9
i am going,7.6,3,10
i am here,7.66,3,9
i am not,4.58,3,8
i am not sure,1,4,13
i am ready,7.96,3,10
i am really,6.14,3,11
i am referring,6.35,3,14
i am sure,7.87,3,9
i am sure that,8.04,4,14
i am sure the,7.77,4,13
i am sure you,7.15,4,13
i am talking,6.83,3,12
i am thinking,4.77,3,13
i am truly,7.64,3,10
i am very,7.47,3,9
i am very much,7.42,4,14
i ask,3.66,2,5
i asked for,5.3,3,11
i assume,3.83,2,8
i believe,6.2,2,9
i believe are,5.04,3,13
i believe i,5.69,3,11
i believe is,6.23,3,12
i believe it is,6.44,4,15
i believe it was,5.07,4,16
i believe it would,5.53,4,18
i believe so,5.27,3,12
i believe that is,6.12,4,17
i believe that the,4.36,4,18
i believe the,5.86,3,13
i believe there,5.07,3,15
i believe there is,5.9,4,18
i believe this is,6.07,4,17
i believe to,6.35,3,12
i believe to be,5.04,4,15
i believe we,5.53,3,12
i believed,6.24,2,10
i belong,7.24,2,8
i can confirm,8.23,3,13
i can confirm that,7.93,4,18
i can feel,6.32,3,10
i can not,6.68,3,9
i can't be,5.97,3,10
i can't decide,1.67,3,14
i can't get,3.35,3,11
i can't think,1.74,3,13
i caught,6.87,2,8
i certainly,7.63,2,11
i completely,7.87,2,12
i conclude,7.68,2,10
i consider,5.93,2,10
i consider that,5.31,3,15
i could only,5.35,3,12
i did,8,2,5
i did not,5.97,3,9
i didn't know that,3.37,4,18
i didn't know you,4.6,4,17
i didnt,6.88,2,7
i do believe that,6.5,4,17
i do feel,6.2,3,9
i do find it,7.17,4,12
i do hope,4.71,3,9
i do know,6.18,3,9
i do not know,2.83,4,13
i don't,5.97,2,7
i don't feel,4.48,3,12
i don't get,4.14,3,11
i don't have,5.87,3,12
i don't know how,3.13,4,16
i don't quite understand,1.3,4,24
i don't really know,1.33,4,19
i don't remember,1.66,3,16
i don't think i,2.85,4,15
i don't understand,2.46,3,18
i doubt,3.3,2,7
i doubt it,3.62,3,10
i ended,5.93,2,7
i expected,6.07,2,10
i feel are,4.73,3,10
i feel is,4.4,3,9
i feel it is,5.41,4,12
i feel like,5.87,3,11
i feel so,6.13,3,9
i feel that,4.32,3,11
i feel that it,5.25,4,14
i feel that the,4.77,4,15
i feel very,6.27,3,11
i finally,6.67,2,9
i find it,5.58,3,9
i find this,6.73,3,11
i firmly,7.54,2,8
i firmly believe,7.83,3,16
i firmly believe that,8.33,4,21
i follow,6.59,2,8
i found,6.8,2,7
i found this,6.43,3,12
i fully,7.7,2,7
i gave,6.63,2,6
i got,6.67,2,5
i got it,7.37,3,8
i greatly,6.92,2,9
i guess,2,2,7
i guess i,3.5,3,9
i guess so,3.11,3,10
i guess that,3.04,3,12
i had no,4.8,3,8
i had thought,3.77,3,13
i have been,6.8,3,11
i have ever had,7.18,4,15
i have learned,7.03,3,14
i have no doubt,7.82,4,15
i have no idea,1.61,4,14
i have not,5.93,3,10
i have now,7.67,3,10
i have only,6,3,11
i have this,7.47,3,11
i haven't been,5.5,3,14
i hear,5.2,2,6
i heard,5.03,2,7
i intend,6.73,2,8
i just didn't,5.93,3,13
i just don't,5.68,3,12
i just don't understand,1.84,4,23
i just had,6.53,3,10
i just hope,3.62,3,11
i just wanted to,5.96,4,16
i kind of,3.93,3,9
i knew it was,8,4,13
i know i'm,7.53,3,10
i know it,8.26,3,9
i know it is,7.62,4,12
i know that,7.47,3,11
i know there is,7.8,4,15
i know this,8.23,3,11
i know this is,8.1,4,14
i know you,8.48,3,10
i love you,7.7,3,10
i may not,3.67,3,9
i mean it,7.93,3,9
i never,6.91,2,7
i noticed,6.38,2,9
i only have,6.29,3,11
i own,7.47,2,5
i presume,5.1,2,9
i promise you,7.9,3,13
i really,6.3,2,8
i really am,7.48,3,11
i really did,7.97,3,12
i really don't,3.77,3,14
i really don't know,0.76,4,19
i really think,5.4,3,14
i said it,7.17,3,9
i saw that,6.7,3,10
i see as,6,3,8
i see it,7.47,3,8
i see it as,5.97,4,11
i still do,6.5,3,10
i still don't know,1.3,4,18
i still don't understand,2.1,4,24
i strongly,7.53,2,10
i strongly believe,8.16,3,18
i suggest that,4.76,3,14
i support,7.13,2,9
i support the,7.07,3,13
i supposed to,5.73,3,13
i suspect,4.27,2,9
i think,4.28,2,7
i think about it,5.04,4,16
i think he is,4.43,4,13
i think i can,4.3,4,13
i think i have,4.25,4,14
i think i was,4.3,4,13
i think i'm,4.85,3,11
i think i'm going,4.52,4,17
i think is,4.32,3,10
i think it,4.73,3,10
i think it does,5.17,4,15
i think it is,4.74,4,13
i think most,4.2,3,12
i think so,4.89,3,10
i think that,4.61,3,12
i think that is,4.93,4,15
i think that the,4.9,4,16
i think this,4.86,3,12
i think this is,4.19,4,15
i thought,3.21,2,9
i thought about it,5.2,4,18
i thought i could,4.36,4,17
i thought i had,3.44,4,15
i thought i might,4.35,4,17
i thought i would,4.52,4,17
i thought it was,5.11,4,16
i truly believe,6.48,3,15
i trust,7.07,2,7
i was,7.41,2,5
i was expecting,6.21,3,15
i was gonna,4.85,3,11
i was never,6.8,3,11
i was not,6.11,3,9
i was there,8.42,3,11
i wasn't sure,1.76,3,13
i will certainly,8.21,3,16
i would argue,6.25,3,13
i would just like,5.93,4,17
i would say that,6.37,4,16
i'm a,6.41,2,5
i'm assuming,4.16,2,12
i'm being,6.36,2,9
i'm certain,8.48,2,11
i'm confident,7.72,2,13
i'm confident that,6.63,3,18
i'm confused,2.27,2,12
i'm convinced,8.13,2,13
i'm convinced that,7.22,3,18
i'm getting,6.88,2,11
i'm gonna be,6.28,3,12
i'm guessing,1.85,2,12
i'm guessing that,3.8,3,17
i'm hearing,4.8,2,11
i'm just not,4.27,3,12
i'm making,6.83,2,10
i'm not,6.21,2,7
i'm not entirely sure,1.45,4,21
i'm not sure,0.97,3,12
i'm pretty,6.21,2,10
i'm pretty sure,6.06,3,15
i'm really,6.33,2,10
i'm really not,4.54,3,14
i'm right,7.96,2,9
i'm seeing,6.22,2,10
i'm still confused,1.47,3,18
i'm sure that,7.18,3,13
i'm thinking of,4.55,3,15
i'm totally,7.7,2,11
idea is,5.67,2,7
ideal,7.07,1,5
identified,7.03,1,10
identified as,7.14,2,13
identified by,7.83,2,13
if required,5.27,2,11
if so,4.58,2,5
if this is true,4.04,4,15
if yes,4.94,2,6
if you are not,4.47,4,14
iffy,1.48,1,4
illustrates,6.77,1,11
im not,6.21,2,6
im sure,8.3,2,7
imminent,7.03,1,8
implication,5,1,11
implication is,6.03,2,14
implicitly,7.13,1,10
implies that,5.03,2,12
implying that,5.75,2,13
important thing is,6.33,3,18
important thing is that,6.83,4,23
impression,5.03,1,10
impression is that,5.17,3,18
improbable,5.33,1,10
improvements,6.41,1,12
improves,6.21,1,8
impunity,6.04,1,8
in accordance with the,6.69,4,22
in all cases,8.1,3,12
in all likelihood,6.97,3,17
in all probability,5.84,3,18
in certain situations,4.9,3,21
in complete,7,2,11
in fact,8.46,2,7
in favor of,6.44,3,11
in favour,6.37,2,9
in general are,5.71,3,14
in general is,5.58,3,13
in its entirety,7.08,3,15
in many cases,5.94,3,13
in mind,5.97,2,7
in most cases,6.04,3,13
in my opinion,5.36,3,13
in my view,6.26,3,10
in other cases,4.57,3,14
in reality,7.48,2,10
in reference to,6.58,3,15
in regard,5.8,2,9
in regard to,6.35,3,12
in spades,6.45,2,9
in the context of,5.65,4,17
in these cases,5.67,3,14
in this context,5.88,3,15
in truth,8.28,2,8
inaccuracies,3.57,1,12
inappropriate,6.58,1,13
inconclusive,2.13,1,12
incontrovertible,5.5,1,16
incurred,6.14,1,8
indecisive,0.7,1,10
indefinitely,4.79,1,12
indeterminate,2,1,13
indicate,6.38,1,8
indicated that,5.56,2,14
indicates,6.2,1,9
indicates that the,6.03,3,18
indicating,5.52,1,10
indication that,6.24,2,15
indications,5.59,1,11
indictments,5.56,1,11
indisputably,8.54,1,12
indubitably,7.3,1,11
inescapable,7.44,1,11
inevitable,7.56,1,10
inexplicable,2.32,1,12
inferring,5.43,1,9
informed about,6.6,2,14
informing,6.37,1,9
infrequently,5.35,1,12
initiated by,5.93,2,12
insecure,2.91,1,8
insight,6.44,1,7
insinuation,3.75,1,11
insist,6.83,1,6
insists,7.17,1,7
inspecting,6.27,1,10
institutionalized,6.85,1,17
instructing,6.83,1,11
insufficient,5,1,12
integral,7.31,1,8
intended to be,5.52,3,14
intended to be used,6.04,4,19
intending to,5.41,2,12
interested,6.25,1,10
interested to hear,5.62,3,18
intrinsically,6.27,1,13
introduced,5.54,1,10
intuitions,3.93,1,10
invalidated,4.21,1,11
invariable,6.81,1,10
invented,5.56,1,8
investigated and,6.58,2,16
invokes,6.04,1,7
irrefutable,7.85,1,11
irrefutably,8,1,11
is a clear,7.58,3,10
is a direct,6.77,3,11
is a fact,8.65,3,9
is a fundamental,7.23,3,16
is a genuine,7.68,3,12
is a highly,7.03,3,11
is a legitimate,7.23,3,15
is a measure,6.62,3,12
is a part,5.5,3,9
is a particularly,6.96,3,17
is a permanent,8.21,3,14
is a possibility,4.3,3,16
is a potential,4.42,3,14
is a question,3.1,3,13
is a really,7.08,3,11
is a risk,3.76,3,9
is a sign that,5.62,4,14
is a truly,7.96,3,10
is about,6.16,2,8
is absolutely,8.5,2,13
is accepted,7.27,2,11
is actually a,7.53,3,13
is affected,6.6,2,11
is after all,7.23,3,12
is almost a,5.43,3,11
is also expected to,5.43,4,19
is also important,7.12,3,17
is also possible,4.69,3,16
is always a,8.03,3,11
is always the,7.4,3,13
is an absolute,8.53,3,14
is an attempt,4.9,3,13
is an extremely,7.31,3,15
is an important,7,3,15
is apparent,6.16,2,11
is apparently,5.5,2,13
is approved,7.9,2,11
is approximately,4.61,2,16
is as,6.15,2,5
is available in,6.83,3,15
is available to,6.3,3,15
is aware of the,6.25,4,15
is aware that,6.86,3,13
is basically,6.5,2,12
is becoming,5.7,2,11
is being done,7.52,3,13
is being held,6.71,3,13
is believed,4.69,2,11
is believed to,5.21,3,14
is believed to be,5.73,4,17
is bound,7.31,2,8
is built,7.31,2,8
is by no means,5.71,4,14
is calculated,7.4,2,13
is capable,6.93,2,10
is certain,8.23,2,10
is changing,5.32,2,11
is clear,7.67,2,8
is clear that,7.77,3,13
is close to,5.82,3,11
is committed,6.59,2,12
is committed to,7.2,3,15
is commonly,6.33,2,11
is compatible with,6.27,3,18
is complete,7.52,2,11
is completed,7.84,2,12
is completely,7.96,2,13
is confident,7.78,2,12
is confirmed,7.77,2,12
is considerably,7,2,15
is considered,5.88,2,13
is consistent,6.67,2,13
is consistent with,6.79,3,18
is consistently,6.72,2,15
is constant,7.6,2,11
is contrary,4.8,2,11
is controlling,6.87,2,14
is convinced,7.48,2,12
is correct,8,2,10
is crucial,6.71,2,10
is dead,6.73,2,7
is decided,7.64,2,10
is defined,7.71,2,10
is definitely,8.59,2,13
is definitely not,7.54,3,17
is destined,6.93,2,11
is determined,7.06,2,13
is discussed,6.37,2,12
is due to,6.97,3,9
is ending,7.57,2,9
is entirely,7.48,2,11
is equivalent to,7.87,3,16
is especially true,7.61,3,18
is essential,7.6,2,12
is essential to,6.64,3,15
is established,8.17,2,14
is ever,6,2,7
is everything,7.44,2,13
is evidence of,6.55,3,14
is evident,7.79,2,10
is exactly,8.17,2,10
is exactly the,7.92,3,14
is exclusively,7.76,2,14
is extremely,7.4,2,12
is feasible,5.69,2,11
is fine,6.36,2,7
is finished,7.6,2,11
is found,7.45,2,8
is frequently,6.31,2,13
is fundamental,7.43,2,14
is genuinely,7.77,2,12
is going to happen,7.6,4,18
is gonna,5.61,2,8
is gonna happen,7.73,3,15
is greatly,7.06,2,10
is guaranteed,8.54,2,13
is happening,6.78,2,12
is hardly,5,2,9
is helping,6.25,2,10
is highly,6.93,2,9
is implemented,6.97,2,14
is important,6.88,2,12
is impossible,6.75,2,13
is impossible to,6,3,16
is in fact,7.59,3,10
is in fact a,7.48,4,12
is in full,7.4,3,10
is in line,6.86,3,10
is in line with,6.25,4,15
is incapable of,6.13,3,15
is incomplete,5.87,2,13
is indeed,8,2,9
is indeed a,7.39,3,11
is indeed the,7.41,3,13
is inevitable,7.54,2,13
is insane,6.31,2,9
is intended,6.07,2,11
is investigating,4.09,2,16
is it possible for,4.23,4,18
is it possible that,4.6,4,19
is it really,5.63,3,12
is it true,4.79,3,10
is it true that,6.67,4,15
is just a,5.79,3,9
is just like,6.03,3,12
is just not,6,3,11
is known,7.6,2,8
is largely,6.17,2,10
is less,5.62,2,7
is like,5.68,2,7
is likely,5.89,2,9
is likely that,5.31,3,14
is likely to,5.53,3,12
is likely to be,5.26,4,15
is looking,5.2,2,10
is mainly,6.52,2,9
is managed,6.57,2,10
is mandatory,8.03,2,12
is measured,6.77,2,11
is merely,5.63,2,9
is more likely,6.31,3,14
is more or less,4.37,4,15
is near,6.35,2,7
is necessary for,7.13,3,16
is never,7.63,2,8
is nice,6.84,2,7
is no longer,7.04,3,12
is no longer in,6.6,4,15
is no more,7.03,3,10
is no need,6.6,3,10
is no question,8.1,3,14
is no way,7.29,3,9
is normally,6.27,2,11
is not,6.3,2,6
is not actually,6.31,3,15
is not available,6.21,3,16
is not clear,3.03,3,12
is not currently,6.36,3,16
is not happening,7.75,3,16
is not known,1.7,3,12
is not likely,4.12,3,13
is not likely to,4.9,4,16
is not necessary,5.87,3,16
is not only,5.44,3,11
is not possible,6.7,3,15
is not so,6.42,3,9
is not something,5.22,3,16
is not sufficient,5.59,3,17
is not the case,6.48,4,15
is not there,7.07,3,12
is not true,7.6,3,11
is now,6.56,2,6
is now being,6.64,3,12
is obvious,8.13,2,10
is obvious that,7.32,3,15
is of course,8,3,12
is of particular,6.37,3,16
is often,6.38,2,8
is often the,5.83,3,12
is okay,5.23,2,7
is on,6.43,2,5
is only possible,5.73,3,16
is particularly,6,2,15
is perceived,5.43,2,12
is perhaps,4.45,2,10
is permitted,7.46,2,12
is pointless,6.08,2,12
is possible,5.33,2,11
is possible to,5.19,3,14
is possibly,3.93,2,11
is potential,5.07,2,12
is precisely,8.06,2,12
is precisely the,7.72,3,16
is predominantly,7.08,2,16
is prepared,7,2,11
is presumably,4.55,2,13
is principally,6.73,2,14
is probably,4.67,2,11
is probably a,5.61,3,13
is probably the,4,3,15
is produced,7.47,2,11
is projected,6,2,12
is proof,7.59,2,8
is proof that,8,3,13
is protected,6.8,2,12
is provided,6.96,2,11
is published,7.43,2,12
is purely,6.7,2,9
is reached,6.58,2,10
is ready,7.76,2,8
is really not,5.24,3,13
is referred,6.31,2,11
is referring,5.86,2,12
is related to,5.97,3,13
is reported,6.11,2,11
is required in,7.44,3,14
is required to,7.5,3,14
is responsible for,7.5,3,18
is right,7.53,2,8
is right to,7.79,3,11
is safe,7.59,2,7
is seriously,6.91,2,12
is settled,7.55,2,10
is shown,6.7,2,8
is significantly,6.42,2,16
is similar,5.16,2,10
is simply,7.12,2,9
is solved,7.8,2,9
is sometimes,4.57,2,12
is somewhat,4,2,11
is specific,7.97,2,11
is specifically,7.9,2,15
is stable,7.47,2,9
is stated,7.12,2,9
is still in,6.75,3,11
is still possible,5.2,3,17
is substantially,6.52,2,16
is sufficient,6.57,2,13
is sufficiently,6.33,2,15
is suggested that,4.39,3,17
is supported,7.42,2,12
is supported by,6.36,3,15
is supporting,6.83,2,13
is supportive,6.85,2,13
is supposed,5.4,2,11
is supposed to,4.62,3,14
is supposed to be,4.84,4,17
is sure to,7.29,3,10
is surely,7.73,2,9
is taking place,7.43,3,15
is tantamount,6.83,2,13
is that this,5.59,3,12
is that when,4.6,3,12
is the direct,7.92,3,13
is the end,7.37,3,10
is the fact,8.31,3,11
is the fact that,8.03,4,16
is the one,7.82,3,10
is the right,7.3,3,12
is the very,7.47,3,11
is there no,3.74,3,11
is there something,4.57,3,18
is thought,5.43,2,10
is to be expected,5.88,4,17
is to say,5.87,3,9
is too,6.14,2,6
is totally,8.03,2,10
is traditionally,5.93,2,16
is true,8.36,2,7
is truly,7.77,2,8
is unable to,5.73,3,12
is unclear,2.21,2,10
is understood,6.93,2,13
is undoubtedly,7.97,2,14
is unlikely,4.63,2,11
is up,6.32,2,5
is used,6.64,2,7
is usually,6.2,2,10
is utterly,6.3,2,10
is valid,7.9,2,8
is very clear,8.37,3,13
is very good,7.37,3,12
is very important,7.12,3,17
is very similar,6.63,3,15
is viewed as,5.7,3,12
is virtually,6.65,2,12
is vital to,6.78,3,11
is well known,8.1,3,13
is wholly,8.11,2,9
is worried,3.71,2,10
is worth,6,2,8
is wrong,7.24,2,8
isn't happening,6.27,2,15
isn't just,5.59,2,10
isn't really,4.75,2,12
isn't right,7.08,2,11
isn't there,4.96,2,11
isn't true,6.48,2,10
isn't working,6.11,2,13
isolated,6.35,1,8
issue is,6.5,2,8
issues being,4.68,2,12
issues that are,5.12,3,15
issues will,5.81,2,11
it ain't,6,2,8
it allows,6.47,2,9
it also seems,5.5,3,13
it appears,4.96,2,10
it appears that,4.85,3,15
it appears to,5,3,13
it appears to be,5.12,4,16
it became clear,7.11,3,15
it becomes clear,7.53,3,16
it can be seen,6.5,4,14
it can not be,6.48,4,13
it certainly,7.72,2,12
it confirmed,8,2,12
it considered,5.03,2,13
it continues to,6.88,3,15
it could be,4,3,11
it did not,7.47,3,10
it does appear,5.73,3,14
it does not,6.69,3,11
it does seem,5.9,3,12
it does so,7.03,3,10
it doesn't,6.88,2,10
it doesn't have,6.4,3,15
it doesn't make sense,2.52,4,21
it failed to,6.04,3,12
it has become,7.56,3,13
it has ever been,7.53,4,16
it has never,7.35,3,12
it has to,6.88,3,9
it hasn't,6.32,2,9
it implies,6.12,2,10
it is a fact,8.53,4,12
it is absolutely,7.6,3,16
it is actually,7.8,3,14
it is also clear,6.97,4,16
it is also possible,4.73,4,19
it is an,7.26,3,8
it is appropriate,7.41,3,17
it is because,6.63,3,13
it is clear,8.21,3,11
it is clear that,7.77,4,16
it is clearly,8.14,3,13
it is common,7,3,12
it is completely,8,3,16
it is difficult to,5.54,4,18
it is entirely,7.67,3,14
it is exactly,8.1,3,13
it is extremely,8.04,3,15
it is fair to,6.04,4,13
it is fully,7.87,3,11
it is generally,6.41,3,15
it is happening,7.62,3,15
it is however,5.64,3,13
it is important,6.73,3,15
it is impossible,7.16,3,16
it is impossible to,6.43,4,19
it is indeed,7.5,3,12
it is known,7.6,3,11
it is likely,5.76,3,12
it is likely that,6.27,4,17
it is necessary,7.07,3,15
it is never,7.13,3,11
it is nevertheless,6.55,3,18
it is no,7.5,3,8
it is not,6.53,3,9
it is nothing,6.07,3,13
it is obvious,7.47,3,13
it is obvious that,7.44,4,18
it is of course,7.24,4,15
it is possible,5.65,3,14
it is possible that,4.43,4,19
it is possible to,5.47,4,17
it is probably,5.17,3,14
it is right,8.04,3,11
it is so,7.57,3,8
it is sometimes,4.44,3,15
it is this,7.27,3,10
it is to be,6.6,4,11
it is truly,7.88,3,11
it is unclear,3.53,3,13
it is unlikely that,5.23,4,19
it is useful,6.42,3,12
it is usually,5.17,3,13
it is very,6.79,3,10
it isn't the,6,3,12
it just doesn't,4.3,3,15
it knows,7.61,2,8
it looks,4.96,2,8
it looks like,5.08,3,13
it may be possible,3.42,4,18
it may well be,5.47,4,14
it must have been,5.9,4,17
it needs to be,6.1,4,14
it never happened,6.4,3,17
it obvious,7.3,2,10
it really is,7.7,3,12
it seemed like,5.32,3,14
it seemed to,4.53,3,12
it seems as,4.84,3,11
it seems as though,4.63,4,18
it seems like,4.68,3,13
it seems likely,4.97,3,15
it seems obvious,7,3,16
it seems so,5.63,3,11
it seems that,4.84,3,13
it seems to,5.15,3,11
it seems to be,5.14,4,14
it shall be,6.44,3,11
it sounds,4.41,2,9
it stands to reason,5.6,4,19
it states that,7.21,3,14
it stopped,6.77,2,10
it suggests,4.44,2,11
it true,7.38,2,7
it was,7.33,2,6
it was before,6.42,3,13
it was clear,8,3,12
it was clearly,7.68,3,14
it was expected,6.43,3,15
it was found,7.37,3,12
it was likely,6,3,13
it was necessary,7.5,3,16
it was necessary to,7.24,4,19
it was not,6.59,3,10
it was obvious,7.83,3,14
it was probably,4.71,3,15
it was reported,6.1,3,15
it was true,7.82,3,11
it won't be,6.42,3,11
it would appear that,5.4,4,20
it's allowed,7.57,2,12
it's always been,6.7,3,16
it's because,7.2,2,12
it's broken,6.5,2,11
it's coming,7.07,2,11
it's doing,7.17,2,10
it's done,7.7,2,9
it's expected,6.14,2,13
it's going to be,6.41,4,16
it's happened,7.73,2,13
it's happening,7.84,2,14
it's known,7.7,2,10
it's lost,5.73,2,9
it's never been,6.1,3,15
it's no,6.85,2,7
it's not coming,7.04,3,15
it's not quite,2.5,3,14
it's not really,3.28,3,15
it's probably not,3.63,3,17
it's really not,5.81,3,15
it's supposed,4.47,2,13
it's supposed to,4.63,3,16
it's this,6.76,2,9
it's true,8.57,2,9
its entirety,7.45,2,12
its over,7.77,2,8
its total,7.6,2,9
job well done,6.96,3,13
just a guess,2.28,3,12
just about,5.2,2,10
just came in,6.84,3,12
just decided,6.59,2,12
just don't know,0.63,3,15
just don't think,4.13,3,16
just finished,7.03,2,13
just happened,6.93,2,13
just is,6.86,2,7
just isn't,5.23,2,10
just now i,5.77,3,10
just seems,4.9,2,10
just wasn't,5.48,2,11
killed,7.41,1,6
kills,6.89,1,5
kind,5.97,1,4
kind of,3.89,2,7
kinda,2.6,1,5
knew about,7,2,10
know about this,7.13,3,15
know it is,7.6,3,10
know now,7.52,2,8
know of,5.53,2,7
know something,7,2,14
know the truth,7.77,3,14
know well,7.82,2,9
know what it is,7.47,4,15
know what that is,7.1,4,17
know why,6.31,2,8
knowledge of,7.3,2,12
knowledge that,6.97,2,14
known,7.78,1,5
known is,7.61,2,8
known that,7.6,2,10
known the,6.33,2,9
known to,6.84,2,8
knows,8.03,1,5
knows about,6.8,2,11
knows exactly,8.5,2,13
lacking,4.63,1,7
lagging,5.39,1,7
landed,6.97,1,6
legal rights,7.4,2,12
lesson learned,7.07,2,14
like to think,4.6,3,13
liked,6.09,1,5
likelihood,5.42,1,10
likelihood of,4.85,2,13
likelihood that,5.17,2,15
likely,5.6,1,6
likely be,4.87,2,9
literally,7.22,1,9
look forward to,5.83,3,15
look just like,6.06,3,14
looked like a,5.79,3,13
looks like,4.88,2,10
looks very,6.04,2,10
lost everything,5.53,2,15
lots of,6.14,2,7
love it,6.54,2,7
loved it,7.43,2,8
made clear,7.11,2,10
made clear that,7.65,3,15
made it clear,7.93,3,13
made possible,6.79,2,13
made sure,7.27,2,9
mainly,6.25,1,6
maintained,6.82,1,10
majority of them are,7.2,4,20
make an informed decision,6.37,4,25
make choices,5.59,2,12
make decisions,5.76,2,14
making decisions,6.41,2,16
mandated,7.57,1,8
mandating,7.23,1,9
manifesto,6.56,1,9
marginally,4.48,1,10
matter is,6,2,9
matter of fact,7.07,3,14
may be,4.07,2,6
may consider,3.45,2,12
may have been,3.76,3,13
may not,3.04,2,7
may not be able,3.48,4,15
may or may not,1.8,4,14
may seem,4.48,2,8
may think,3.72,2,9
maybe,3.79,1,5
maybe he is,3.7,3,11
maybe i can,3.04,3,11
maybe i was,3.13,3,11
maybe there is,3.55,3,14
maybe this is,2.27,3,13
meaning that,6.41,2,12
meant it,7.2,2,8
measured by,6.3,2,11
measures,6.59,1,8
might,3.68,1,5
might've,3.73,1,8
mind that,4.96,2,9
minimize,5.7,1,8
mistaken,4.63,1,8
